VelX,VelY,VelZ
(m/s),(m/s),(m/s)
-0.29,0.053,1.488
0.568,0.489,0.701
0.43,0.389,1.668
0.019,0.056,0.284
-0.083,0.054,0.577
0.98,0.349,0.804
1.142,0.016,-0.346
0.305,0.331,-0.289
-0.567,0.304,0.885
1.674,-0.264,-1.695
-0.447,0.111,1.208
-0.093,0.049,0.188
-0.124,0.015,1.207
0.567,0.122,0.165
0.812,0.106,0.437
1.152,0.336,-1.339
1.098,0.02,1.13
0.464,0.152,1.734
1.435,-0.416,-0.549
0.107,0.087,0.727
0.46,0.059,0.22
0.552,0.092,-0.899
0.602,0.116,0.443
0.085,0.111,4.038
0.228,0.227,0.979
0.599,0.034,-0.46
0.487,0.174,-0.332
1.705,0.1,0.13
0.002,-0.051,3.949
0.884,0.233,-0.075
0.081,0.173,0.047
0.57,-0.06,0.26
0.291,0.125,0.482
0.137,0.209,0.812
0.313,0.041,0.045
0.143,-0.088,-1.126
0.365,0.112,-0.139
1.396,0.038,0.138
0.813,0.093,-0.076
0.952,-0.005,0.055
0.9,0.245,-1.01
0.185,0.044,1.341
0.541,0.067,-0.218
0.733,0.124,-0.408
0.395,0.247,-0.081
0.785,0.084,0.662
0.562,0.074,-0.033
-0.121,0.242,0.591
0.357,0.02,2.756
0.188,0.06,0.7
0.086,0.168,0.702
1.468,-0.169,-1.88
0.344,0.007,-0.094
1.064,0.195,1.046
0.277,0.096,-0.497
0.208,0.039,0.768
1.043,0.339,1.129
0.555,0.119,0.047
0.287,0.123,0.647
0.218,0.213,0.641
0.484,0.187,0.539
0.174,0.108,-0.445
0.693,0.217,0.53
1.329,0.028,-0.149
0.425,0.025,0.304
-0.018,0.261,-0.426
0.746,0.188,0.253
0.506,0.304,0.139
1.412,0.108,-0.709
0.013,0.118,0.519
0.245,0.071,0.262
0.741,-0.129,-0.076
0.763,-0.089,-1.765
0.695,0.103,0.235
0.501,0.004,-0.359
-0.39,0.151,0.553
-1.057,0.381,2.209
0.96,0.155,0.423
-0.018,0.018,-1.837
-0.17,0.416,0.586
