distance,elevation
0,2722.645
10,2722.64
20,2722.618
30,2722.607
40,2722.595
50,2722.59
60,2722.514
70,2722.48
70,2722.683
80,2722.462
90,2722.408
100,2722.415
110,2722.45
120,2722.423
130,2722.421
140,2722.43
150,2722.416
160,2722.42
170,2722.418
180,2722.411
190,2722.419
200,2722.427
210,2722.417
220,2722.385
230,2722.364
240,2722.392
250,2722.361
260,2722.339
270,2722.317
280,2722.31
290,2722.288
300,2722.233
310,2722.211
320,2722.188
330,2722.152
340,2722.176
350,2722.173
360,2722.147
370,2722.185
380,2722.171
390,2722.148
400,2722.156
410,2722.228
420,2722.201
430,2722.245
440,2722.281
450,2722.287
460,2722.3
470,2722.323
480,2722.446
490,2722.556
500,2722.61
