Sample,Source,d13C,d15N,%C,%N,C/N
terr1,terrestrial,-26.44,-0.89,10.38,0.933,11.13
terr2,terrestrial,-25.46,1.03,19.7,1.086,18.13
terr3,terrestrial,-25.93,-0.01,6.43,0.444,14.46
terr4,terrestrial,-26.23,0.52,22.64,0.784,28.89
terr5,terrestrial,-25.72,2.33,9.95,0.381,26.14
flood1,floodplain,-26.02,3.01,3.55,0.232,15.32
flood2,floodplain,-24.99,4.23,7,0.347,20.16
flood3,floodplain,-27.35,3.93,22.22,1.331,16.69
flood4,floodplain,-25.91,1.8,3.56,0.229,15.53
flood5,floodplain,-25.8,3.66,7.58,0.431,17.56
bank1,bank,-26.32,-0.64,3.4,0.268,12.69
bank2,bank,-26,1.96,6.08,0.43,14.16
bank3,bank,-26.36,5.34,6.43,0.513,12.54
bank4,bank,-26.57,1.84,8.45,0.552,15.32
bank5,bank,-26.91,1.98,10.6,0.687,15.43
bed1,bed,-26.07,1.48,2.13,0.248,8.6
bed2,bed,-25.53,-1.24,3.56,0.292,12.21
bed3,bed,-26,-2.82,2.33,0.239,9.76
bed4,bed,-26.16,-4.42,1.1,0.203,5.43
bed5,bed,-25.78,-1.69,2.17,0.221,9.81
seep1,seep,-26.77,-0.84,2.38,0.238,10.03
seep2,seep,-27.6,1.87,5.77,0.459,12.57
seep3,seep,-27.65,3.36,11.54,0.701,16.46
seep4,seep,-26.77,2.11,8.98,0.562,15.96
side1,side,-27.64,2.14,12.95,0.714,18.15
side2,side,-26.13,-4.88,2.99,0.265,11.29
side3,side,-25.82,-1.11,2.9,0.262,11.05
side4,side,-26.2,-4.4,1.91,0.236,8.07
