Size,Avg,D25,D50,D75,Class
0.37,0.027858991,0.01331112,0.019361647,0.029786126,C
0.44,0.030017815,0.014432294,0.020533688,0.031325333,C
0.52,0.033405567,0.016289463,0.02293767,0.034444283,C
0.61,0.038213834,0.019044337,0.026753654,0.039481433,C
0.72,0.044292349,0.022735125,0.0313044,0.045830796,C
0.85,0.051274086,0.027273149,0.036460666,0.053166146,C
1.01,0.062057821,0.033452046,0.044792806,0.064383098,C
1.19,0.086553941,0.046622914,0.062697051,0.089920887,C
1.4,0.130901433,0.069349408,0.096533968,0.136093554,C
1.65,0.168095021,0.088308886,0.124178435,0.176287212,C
1.95,0.204062903,0.106623846,0.148187964,0.218053887,C
2.3,0.250344858,0.130754496,0.176443525,0.275048423,S
2.72,0.29198787,0.149460302,0.205999285,0.32247251,S
3.2,0.344940728,0.17389238,0.267555315,0.380819132,S
3.78,0.406264461,0.20162318,0.312410729,0.45143962,S
4.46,0.487574512,0.245185006,0.356700215,0.538481355,S
5.27,0.5847143,0.304751418,0.41103792,0.640290447,S
6.21,0.686493012,0.362541352,0.479748648,0.738879701,S
7.33,0.782557091,0.412776994,0.586514857,0.846106259,S
8.65,0.892355049,0.474286222,0.666305304,0.967700293,S
10.21,1.01225139,0.546524308,0.779014764,1.097807702,S
12.05,1.133107652,0.62069735,0.894003202,1.211274836,S
14.22,1.308561827,0.743548525,1.050528468,1.374126314,S
16.78,1.505754984,0.893317469,1.150708886,1.550206687,S
19.81,1.725546138,1.008747151,1.356977689,1.860991704,S
23.37,1.932634099,1.119030283,1.536046399,2.05329684,S
27.58,2.14635842,1.282952737,1.610925642,2.238605465,S
32.55,2.326066106,1.356045999,1.783663841,2.387731794,S
38.41,2.486335594,1.423923917,1.945802709,2.584765325,S
45.32,2.563954522,1.447056377,2.01006574,2.661892569,S
53.48,2.530493649,1.481268538,1.9484199,2.597707259,S
63.11,2.443452746,1.421745943,1.761730438,2.496910304,FS
74.48,2.217644383,1.317544438,1.639278082,2.275199034,FS
87.89,1.967081346,1.137680088,1.492061321,2.030878645,FS
103.72,1.627455803,0.894914462,1.252029653,1.695883957,FS
122.39,1.315531855,0.718101734,1.00708831,1.343449727,FS
144.43,1.006566893,0.541186417,0.805924178,1.038666704,FS
170.44,0.719215522,0.385800081,0.597771116,0.740906998,FS
201.13,0.460822063,0.266615551,0.396441922,0.476808295,FS
237.35,0.296761123,0.17224054,0.258172494,0.306392525,FS
280.09,0.204518197,0.09913191,0.171464914,0.231447923,FS
330.52,0.138926697,0.051604742,0.106478258,0.164915888,FS
390.04,0.079652306,0.024629669,0.058398399,0.093805827,FS
460.27,0.038953287,0.012344159,0.030054692,0.049834815,FS
