Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
5,0,0,0,100
1,26.044,54.8427514,54.8427514,45.1572486
0.85,4.0358,8.498478579,63.34122998,36.65877002
0.3,14.4898,30.51222928,93.85345926,6.146540741
0.25,0.7068,1.48836034,95.3418196,4.658180402
0.125,1.2571,2.647167209,97.98898681,2.011013193
0.063,0.4514,0.950545922,98.93953273,1.060467271
0.053,0.0678,0.142771408,99.08230414,0.917695863
0.038,0.1806,0.3803026,99.46260674,0.537393264
0.025,0.1592,0.335239058,99.79784579,0.202154206
pan,0.096,0.202154206,100,0
TOTAL,47.4885,,,
,,,,
