Size (um),Vol Conc
0.37,0.17
0.44,0.16
0.52,0.15
0.61,0.15
0.72,0.14
0.85,0.15
1.01,0.19
1.19,0.27
1.4,0.36
1.65,0.42
1.95,0.47
2.3,0.5
2.72,0.53
3.2,0.55
3.78,0.6
4.46,0.66
5.27,0.75
6.21,0.85
7.33,0.99
8.65,1.15
10.21,1.33
12.05,1.59
14.22,2
16.78,2.56
19.81,3.34
23.37,4.27
27.58,5.6
32.55,7.46
38.41,9.98
45.32,12.78
53.48,15.33
63.11,17.71
74.48,17.74
87.89,16.44
103.72,13.99
122.39,11.94
144.43,9.8
170.44,7.67
201.13,5.83
237.35,4.75
280.09,4.35
330.52,4.22
390.04,3.66
460.27,3.08
TOTAL,196.63
