sum_sq,df,F,PR(>F)
0.00013630191337880368,1.0,0.008730596467186406,0.9340733344711428
0.03122396365267572,2.0,,
0.0001684810618071738,1.0,0.010566414709754487,0.9275055742399152
0.03188992036279607,2.0,,
9.306754527519519e-05,1.0,0.005604402137106563,0.9471381926146322
0.033212300972836346,2.0,,
7.155117165098342e-05,1.0,0.0038841030295541064,0.9559740160693074
0.03684308634789096,2.0,,
2.9340576009569676e-06,1.0,0.0001500934913372928,0.9913373725650181
0.03909640018118441,2.0,,
0.00012839992235630187,1.0,0.006240291637465665,0.9442286741245302
0.041151897961117796,2.0,,
0.00028183026229293716,1.0,0.014762244236235848,0.9144018672013565
0.03818257682001333,2.0,,
0.00010297911425814795,1.0,0.005891126893270987,0.9458067108925717
0.03496075237346309,2.0,,
1.5120467526413862e-07,1.0,8.827240085584834e-06,0.9978991428980527
0.03425865248891569,2.0,,
3.050440614464092e-05,1.0,0.0018524031248237428,0.9695805242174711
0.03293495431513422,2.0,,
0.00017203817383369034,1.0,0.011084557718159643,0.9257589648026169
0.03104105336595309,2.0,,
0.00032268769176141003,1.0,0.0219767807363056,0.895745705054452
0.029366238452598344,2.0,,
0.0009063131853847455,1.0,0.06240934948632419,0.8260448088237531
0.029044147802993733,2.0,,
0.001473704487194148,1.0,0.10531077047214367,0.7763451661831161
0.027987725862929958,2.0,,
0.0028821149015795917,1.0,0.20730453338133586,0.6935403705699852
0.027805613843262682,2.0,,
0.004816454242911671,1.0,0.36171547667185716,0.6086460173380274
0.026631175902274627,2.0,,
0.00720638014698251,1.0,0.5719524574187446,0.5284274718688146
0.025199227850179477,2.0,,
0.00908920986827772,1.0,0.783036089009195,0.46956585791975974
0.023215302578910864,2.0,,
0.009789865005207626,1.0,0.9416601212516742,0.4342157640508292
0.020792778167551013,2.0,,
0.009918161032158096,1.0,1.0750333140704234,0.40872972147989023
0.018451820799124326,2.0,,
0.008313297642086334,1.0,1.0371721586242149,0.41562622196975263
0.016030699576652218,2.0,,
0.006358517629652989,1.0,0.8656881376297311,0.4503752636843457
0.014690088389250011,2.0,,
0.004798715962515003,1.0,0.6688588969610155,0.4993843207438006
0.014348963538701933,2.0,,
0.0031744771803321244,1.0,0.4228435394683139,0.5822397013092023
0.015014902128213816,2.0,,
0.00238805722838519,1.0,0.2754408907183093,0.6520783711242362
0.017339888947915383,2.0,,
0.0016441888156287626,1.0,0.15877656022912928,0.7288002108264094
0.02071072472228956,2.0,,
0.001644215787837531,1.0,0.1587787204467084,0.7287985016339921
0.02071078269445289,2.0,,
0.0012100805451342317,1.0,0.08832421765335283,0.7943442118350292
0.027400877749825085,2.0,,
0.00042281211179484026,1.0,0.023734435266745877,0.8917039315178535
0.03562857991293678,2.0,,
2.167580764268738e-05,1.0,0.0009835146577797816,0.977829848388426
0.044078260494091796,2.0,,
0.00027525811515210737,1.0,0.010926780351225681,0.9262863395833159
0.05038229127049874,2.0,,
0.0009444781207278717,1.0,0.039699906091400845,0.8604879880784007
0.0475808742999747,2.0,,
0.0035413785859791163,1.0,0.21593652574449912,0.6878348645232221
0.03280018119925995,2.0,,
0.006222298400318273,1.0,0.8651420934683752,0.45049627729507263
0.014384454177632094,2.0,,
0.012559606811531305,1.0,8.249730009808902,0.10285290557562976
0.0030448528125400403,2.0,,
0.02121329182203134,1.0,3.645897335299723,0.1964077692796999
0.011636801517499358,2.0,,
0.027903598793448853,1.0,1.1359443426657725,0.3981415623580374
0.0491284612201443,2.0,,
0.027904249947384732,1.0,1.135953141502442,0.3981400757637639
0.04912922712723489,2.0,,
0.041305126585718194,1.0,0.6584030031887992,0.5023368408306449
0.1254706506065976,2.0,,
0.05594976937046976,1.0,0.4724300487833115,0.5628738882002405
0.23685948645545246,2.0,,
0.07599666296953235,1.0,0.38665580836025004,0.5974986202776271
0.3930972266617327,2.0,,
0.06188411322404571,1.0,0.24409729487647763,0.6701924129412289
0.5070446459094222,2.0,,
0.06188445314151979,1.0,0.24409845424145257,0.6701917149089829
0.5070450227456674,2.0,,
0.01109644482007476,1.0,0.03968183291357753,0.8605191298051966
0.5592707798675298,2.0,,
0.004282318836209745,1.0,0.2172784214585018,0.6869611903352226
0.03941780143158513,2.0,,
0.004953501483820736,1.0,0.26635766785475334,0.6571782424946703
0.03719435992750856,2.0,,
0.005145843183744294,1.0,0.28214111402245723,0.6483894149097827
0.036477088435503284,2.0,,
0.005242989486012926,1.0,0.2906288322384681,0.6438015814138668
0.03608031209863531,2.0,,
0.019501436757502242,1.0,0.641932824483694,0.5070715255160447
0.060758496882246917,2.0,,
0.13175132771057602,1.0,1.654222431098274,0.327179116132287
0.15929094568389265,2.0,,
0.05140482619461081,1.0,1.7386470619038574,0.318056363402626
0.05913198523261112,2.0,,
