Distance (m) ,Elevation (m)
0,2732.84
0.7,2733.03
1,2732.99
2,2732.945
2.6,2733.002
3,2733.04
4,2733.09
5,2733.145
5.4,2733.171
6,2733.21
7,2733.24
8,2733.295
8.3,2733.305
9,2733.33
9.6,2733.345
9.8,2733.585
10,2733.57
10.15,2733.573
11,2733.595
11.6,2733.565
12,2733.725
13.2,2733.615
13.5,2733.74
13.6,2733.88
14,2733.875
14.6,2733.83
15.3,2733.765
15.7,2733.87
16,2734.035
17,2734.04
17.2,2734.038
17.6,2734.035
18,2734.18
18.5,2734.115
19,2734.165
20,2734.285
20.5,2734.32
21,2734.345
22,2734.38
23,2734.43
23.3,2734.395
23.6,2734.545
24.6,2734.845
25,2734.575
25.3,2734.56
26,2735.01
26.7,2735.08
27,2735.025
27.1,2735
27.6,2735.23
28,2735.145
29,2735.16
29.2,2735.365
29.7,2735.27
30,2735.215
30.5,2735.46
31,2735.415
31.4,2735.417
31.7,2735.435
32,2735.46
33,2735.47
33.5,2735.48
34.5,2736.125
35,2736.115
35.6,2736.09
35.8,2736.12
36.2,2736.053
36.3,2736.035
36.9,2735.925
37,2736.42
37.6,2736.44
38,2736.43
39,2736.565
40,2736.515
40.3,2736.705
41,2736.645
41.7,2736.61
42,2736.765
42.6,2736.789
43,2736.8
43.4,2736.8
43.5,2736.735
44,2736.76
44.5,2736.915
44.8,2736.82
45.1,2737.045
45.6,2736.965
46,2737.14
46.5,2737.185
47,2737.18
47.2,2737.195
47.5,2737.415
48,2737.34
48.2,2737.25
49,2737.465
49.5,2737.46
49.9,2737.685
50.3,2737.615
50.9,2737.79
51.5,2737.76
52,2737.785
52.6,2737.8
53.2,2738.205
53.7,2738.21
54,2738.08
54.5,2738.085
55.1,2738.11
55.9,2738.405
56.5,2738.365
56.6,2738.363
56.9,2738.318
58,2738.19
