Date_Time,Turbidity,sediment,,
8/3/2022 15:02,21.59,57.73,,
8/3/2022 15:17,19.968,48.06,,
8/3/2022 15:47,10.484,17.43,,
8/3/2022 16:17,13.014,11.45,,
8/3/2022 18:02,9.666,55,,
8/3/2022 18:17,9.151333333,6.53,,
8/3/2022 19:02,7.615333333,45.16,,
8/8/2022 13:43,4.459333333,8.48,,
8/8/2022 13:58,5.719333333,10.74,,
8/8/2022 14:13,10.91666667,19.84,,
8/8/2022 14:28,14.478,49.09,,
8/8/2022 14:43,22.442,35.39,,
8/8/2022 15:23,13.926,23.68,,
8/8/2022 16:13,9.508,9.89,,
8/8/2022 16:58,7.599333333,4.08,,
8/8/2022 17:28,6.719333333,1.65,,
8/8/2022 17:58,6.122,0.84,,
4/15/2023 12:30,3.42684195,12.38,,
4/15/2023 16:30,3.422469235,9.47,,
4/15/2023 20:30,3.418096519,5,,
4/16/2023 0:30,3.413723804,4,,
4/16/2023 12:30,3.400605657,10.48,,
4/16/2023 16:30,3.396232942,9.33,,
4/17/2023 0:30,3.387487511,9.66,,
4/17/2023 4:30,3.383114795,4,,
4/17/2023 8:30,3.37874208,1.5,,
4/17/2023 12:30,4.5357048,5.5,,
4/18/2023 0:30,12.730442,8.95,,
4/18/2023 4:30,12.263458,9.5,,
4/18/2023 8:30,10.282138,4.5,,
4/18/2023 21:30,13.492994,15,,
4/19/2023 2:30,11.935922,10,,
4/19/2023 7:30,11.653564,6.82,,
4/19/2023 12:30,10.448042,3.5,,
4/20/2023 18:30,10.018212,6,,
4/20/2023 23:30,8.6619566,6.25,,
4/21/2023 4:30,8.173714511,6,,
4/23/2023 16:00,9.4050314,10.34,,
4/23/2023 21:00,9.9722712,5.33,,
4/24/2023 2:00,6.2565414,6.43,,
4/24/2023 7:00,6.1596502,6.43,,
4/24/2023 12:00,6.5126184,14.19,,
4/24/2023 17:00,12.555218,14.74,,
4/24/2023 22:00,10.2862428,18.95,,
4/25/2023 3:00,8.4326104,26.09,,
4/25/2023 8:00,8.0923948,7.27,,
4/25/2023 18:00,7.7965476,5.33,,
4/25/2023 23:00,6.1084098,5,,
4/26/2023 19:00,6.5571176,12.14,,
4/27/2023 0:00,6.4697842,10.67,,
4/27/2023 5:00,6.5095738,5.29,,
4/27/2023 10:00,5.9067412,4.12,,
4/27/2023 15:00,8.6772618,8.13,,
4/27/2023 20:00,9.5304336,6.88,,
4/28/2023 1:00,7.8862118,4.83,,
4/28/2023 6:00,7.5004644,2.35,,
4/28/2023 11:00,9.4601454,5.33,,
4/28/2023 16:00,6.7386192,5.29,,
4/28/2023 21:00,9.4574638,3.23,,
4/29/2023 7:00,4.3573476,3.33,,
4/29/2023 12:00,6.9575446,5.33,,
4/29/2023 22:00,6.224596315,10.67,,
4/30/2023 3:00,9.667388044,7.86,,
4/30/2023 8:00,11.6311664,8.67,,
4/30/2023 13:00,5.003437564,9.38,,
4/30/2023 18:00,,,63.186318,42
4/30/2023 23:00,18.03844,17.42,,
5/1/2023 4:00,11.934466,6.67,,
5/1/2023 9:00,10.379066,2.5,,
5/1/2023 14:00,13.443178,6,,
5/1/2023 20:00,24.053342,22.14,,
5/2/2023 3:00,13.279764,10,,
5/2/2023 10:00,8.0217294,6.43,,
5/2/2023 17:00,10.49208,18,,
5/3/2023 0:00,8.7961376,9.33,,
5/3/2023 7:00,6.6968832,5.71,,
5/3/2023 14:00,10.1770552,2.86,,
5/3/2023 20:00,18.7132092,20.67,,
5/4/2023 2:00,13.83131,4.67,,
5/4/2023 2:00,13.83131,11.88,,
5/4/2023 8:00,10.596176,2.86,,
5/4/2023 17:00,20.1574232,8.75,,
7/29/2023 14:52,31.816,,187,
7/29/2023 15:07,36.38,110,,
7/29/2023 15:22,34.868,53.33,,
7/29/2023 15:37,33.26,80,,
7/29/2023 15:52,26.348,43.33,,
7/29/2023 16:07,20.136,92.22,,
7/29/2023 16:22,16.76,52.22,,
8/13/2023 18:45,22.84,76.15,,
8/13/2023 18:58,15.56,41.2,,
8/13/2023 19:02,13.776,39.6,,
8/13/2023 19:10,11.31,27.6,,
8/13/2023 21:02,8.756,20.83,,
9/14/2023 17:52,1.617557913,37.6,,
9/14/2023 18:07,1.613632184,31.54,,
9/14/2023 18:22,1.609706454,28.08,,
9/14/2023 18:37,1.605780725,23.6,,
9/14/2023 18:52,1.601854996,21.18,,
9/14/2023 19:09,1.597405836,23.14,,
