season,start,end
spring,2023-04-17 20:35:00,2023-04-17 21:03:00
spring,2023-04-18 14:42:00,2023-04-18 14:49:00
spring,2023-04-18 16:18:00,2023-04-18 17:38:00
spring,2023-04-18 18:47:00,2023-04-18 19:22:00
spring,2023-04-24 14:58:00,2023-04-24 15:01:00
spring,2023-04-30 15:13:00,2023-04-30 20:52:00
spring,2023-04-30 21:22:00,2023-04-30 21:50:00
spring,2023-04-30 22:16:00,2023-04-30 22:41:00
spring,2023-04-30 23:00:00,2023-04-30 23:16:00
spring,2023-05-01 00:08:00,2023-05-01 01:14:00
spring,2023-05-01 13:27:00,2023-05-01 13:32:00
spring,2023-05-01 14:33:00,2023-05-01 14:53:00
spring,2023-05-01 16:33:00,2023-05-01 19:15:00
spring,2023-05-01 19:38:00,2023-05-01 19:59:00
spring,2023-05-02 00:56:00,2023-05-02 01:01:00
spring,2023-05-03 15:34:00,2023-05-03 15:53:00
spring,2023-05-03 16:12:00,2023-05-03 20:07:00
spring,2023-05-03 21:27:00,2023-05-03 21:32:00
spring,2023-05-04 17:12:00,2023-05-04 17:17:00
summer,2023-07-13 08:20:00,2023-07-13 08:22:00
summer,2023-07-13 17:28:00,2023-07-13 17:39:00
summer,2023-07-22 18:02:00,2023-07-22 18:43:00
summer,2023-07-27 19:14:00,2023-07-27 19:18:00
summer,2023-07-28 23:51:00,2023-07-29 00:36:00
summer,2023-07-29 13:47:00,2023-07-29 18:09:00
summer,2023-07-29 18:14:00,2023-07-29 20:47:00
summer,2023-08-13 18:34:00,2023-08-13 19:32:00
summer,2023-08-28 12:05:00,2023-08-28 15:18:00
summer,2023-09-14 15:57:00,2023-09-14 19:03:00
